,y,x,y_test_pred
18359,10.292671946620448,76.56678034782227,22.45991
18360,10.292402452035212,76.56678034782227,22.574804
18361,10.292132957449976,76.56678034782227,22.786818
18362,10.291863462864741,76.56678034782227,14.752991
18551,10.295366892472806,76.56704984240751,21.71256
18552,10.29509739788757,76.56704984240751,14.463583
18553,10.294827903302336,76.56704984240751,21.737274
18554,10.2945584087171,76.56704984240751,22.692734
18555,10.294288914131863,76.56704984240751,22.692734
18556,10.294019419546627,76.56704984240751,22.763334
18557,10.293749924961391,76.56704984240751,14.121651
18561,10.292671946620448,76.56704984240751,21.326317
18562,10.292402452035212,76.56704984240751,22.482243
18563,10.292132957449976,76.56704984240751,22.682402
18564,10.291863462864741,76.56704984240751,22.692734
18565,10.291593968279505,76.56704984240751,14.383696
18752,10.295636387058043,76.56731933699275,22.18016
18754,10.29509739788757,76.56731933699275,21.166357
18755,10.294827903302336,76.56731933699275,21.919165
18756,10.2945584087171,76.56731933699275,22.763334
18757,10.294288914131863,76.56731933699275,21.30788
18764,10.292402452035212,76.56731933699275,20.448042
18765,10.292132957449976,76.56731933699275,22.067478
18766,10.291863462864741,76.56731933699275,22.17543
18767,10.291593968279505,76.56731933699275,22.787924
18953,10.295905881643279,76.56758883157799,15.107137
18954,10.295636387058043,76.56758883157799,20.417706
18955,10.295366892472806,76.56758883157799,14.337204
18956,10.29509739788757,76.56758883157799,21.80818
18957,10.294827903302336,76.56758883157799,22.552841
18967,10.292132957449976,76.56758883157799,22.871307
18968,10.291863462864741,76.56758883157799,22.787924
18969,10.291593968279505,76.56758883157799,22.787924
18970,10.291324473694269,76.56758883157799,22.787924
19155,10.295905881643279,76.56785832616322,21.08841
19156,10.295636387058043,76.56785832616322,14.392443
19157,10.295366892472806,76.56785832616322,21.749353
19169,10.292132957449976,76.56785832616322,21.94744
19170,10.291863462864741,76.56785832616322,22.787924
19171,10.291593968279505,76.56785832616322,22.787924
19172,10.291324473694269,76.56785832616322,22.787924
19173,10.291054979109033,76.56785832616322,14.700375
19356,10.296175376228515,76.56812782074846,22.162392
19357,10.295905881643279,76.56812782074846,21.00612
19358,10.295636387058043,76.56812782074846,22.080818
19359,10.295366892472806,76.56812782074846,22.786818
19372,10.291863462864741,76.56812782074846,22.117765
19373,10.291593968279505,76.56812782074846,22.787924
19374,10.291324473694269,76.56812782074846,22.392395
19375,10.291054979109033,76.56812782074846,22.392395
19376,10.290785484523797,76.56812782074846,19.58215
19557,10.296444870813751,76.5683973153337,15.023899
19558,10.296175376228515,76.5683973153337,22.00317
19559,10.295905881643279,76.5683973153337,21.860018
19560,10.295636387058043,76.5683973153337,21.872702
19561,10.295366892472806,76.5683973153337,22.692734
19575,10.291593968279505,76.5683973153337,21.608932
19576,10.291324473694269,76.5683973153337,22.392395
19577,10.291054979109033,76.5683973153337,22.33261
19578,10.290785484523797,76.5683973153337,22.392395
19759,10.296444870813751,76.56866680991894,21.628017
19760,10.296175376228515,76.56866680991894,14.890108
19761,10.295905881643279,76.56866680991894,23.494852
19762,10.295636387058043,76.56866680991894,22.664867
19778,10.291324473694269,76.56866680991894,22.871307
19779,10.291054979109033,76.56866680991894,22.787924
19780,10.290785484523797,76.56866680991894,22.787924
19781,10.29051598993856,76.56866680991894,22.787924
19782,10.290246495353326,76.56866680991894,21.524725
19960,10.296714365398985,76.56893630450416,16.86832
19961,10.296444870813751,76.56893630450416,15.938652
19962,10.296175376228515,76.56893630450416,23.883608
19963,10.295905881643279,76.56893630450416,23.567747
19980,10.291324473694269,76.56893630450416,15.286266
19981,10.291054979109033,76.56893630450416,21.646439
19982,10.290785484523797,76.56893630450416,20.885313
19983,10.29051598993856,76.56893630450416,22.787924
19984,10.290246495353326,76.56893630450416,21.86854
19985,10.28997700076809,76.56893630450416,14.07267
20161,10.296983859984222,76.5692057990894,16.89434
20162,10.296714365398985,76.5692057990894,22.975842
20163,10.296444870813751,76.5692057990894,23.543444
20164,10.296175376228515,76.5692057990894,23.938625
20184,10.290785484523797,76.5692057990894,21.64276
20185,10.29051598993856,76.5692057990894,22.187565
20186,10.290246495353326,76.5692057990894,22.176271
20187,10.28997700076809,76.5692057990894,23.148016
20362,10.297253354569458,76.56947529367464,16.89434
20363,10.296983859984222,76.56947529367464,22.811092
20364,10.296714365398985,76.56947529367464,23.887028
20365,10.296444870813751,76.56947529367464,23.70765
20366,10.296175376228515,76.56947529367464,14.880056
20386,10.290785484523797,76.56947529367464,21.983488
20387,10.29051598993856,76.56947529367464,20.48135
20388,10.290246495353326,76.56947529367464,22.886961
20389,10.28997700076809,76.56947529367464,23.538857
20390,10.289707506182854,76.56947529367464,22.344572
20564,10.297253354569458,76.56974478825987,23.530188
20565,10.296983859984222,76.56974478825987,23.938625
20566,10.296714365398985,76.56974478825987,23.68547
20567,10.296444870813751,76.56974478825987,22.777279
20590,10.290246495353326,76.56974478825987,21.789701
20591,10.28997700076809,76.56974478825987,22.512674
20592,10.289707506182854,76.56974478825987,22.699066
20593,10.289438011597618,76.56974478825987,16.256538
20765,10.297522849154694,76.57001428284511,16.927404
20766,10.297253354569458,76.57001428284511,23.328716
20767,10.296983859984222,76.57001428284511,22.600199
20792,10.290246495353326,76.57001428284511,23.251707
20793,10.28997700076809,76.57001428284511,22.454094
20794,10.289707506182854,76.57001428284511,21.125671
20795,10.289438011597618,76.57001428284511,24.566605
20965,10.298061838325165,76.57028377743035,16.922571
20966,10.29779234373993,76.57028377743035,16.830088
20967,10.297522849154694,76.57028377743035,23.38789
20968,10.297253354569458,76.57028377743035,15.688129
20994,10.290246495353326,76.57028377743035,16.823294
20995,10.28997700076809,76.57028377743035,22.638823
20996,10.289707506182854,76.57028377743035,23.220184
20997,10.289438011597618,76.57028377743035,24.793177
21166,10.2983313329104,76.57055327201559,24.214792
21167,10.298061838325165,76.57055327201559,16.36826
21168,10.29779234373993,76.57055327201559,16.817709
21169,10.297522849154694,76.57055327201559,24.440392
21196,10.290246495353326,76.57055327201559,16.142878
